participant_id,frequency,avg_x,avg_y
P_20260327_114616,1000,0.5044149773536665,0.4711989514348786
P_20260327_114616,4000,0.6754966550578608,0.16932257174392937
P_20260327_114835,200,0.694812328347044,0.7111548013245033
P_20260327_114835,1000,0.5629138736009072,0.5870929911699779
P_20260327_114835,4000,0.6937085755876621,0.13874862030905075
P_20260327_114901,200,0.34053531335152804,0.7836644692663062
P_20260327_114901,1000,0.7996964612543978,0.7973510034826418
P_20260327_114901,4000,0.16062361357227853,0.09624725072325986
P_20260327_115021,200,0.49999996631613897,0.7532077814569537
P_20260327_115021,1000,0.4961368316583023,0.2957022626931567
P_20260327_115021,4000,0.48178804578633755,0.11303118101545251
